,AUWHXEA1AXCVE,A2OWT6YNGSTFGZ,A2XGOBIWUDYLOT,A1DXFMUVK5015A,A27XCW38I77SZ6,A2UC4H3EHIMWGC,AECKWX9PFTHOM,A2DW47AFPJWXAM,A1G3G0YQ80PTL9,A4RT8SPRCRYVN,A1830YARZUAFPX,ASVP3M0AQ1HG4,AQ0ENO64Z0MBF,ATXUM0GBU5MC8,A2BACJE00ZUDXS,AZE7YSINS9UNZ,A32DRYN7M7HIZT,A2LRY3ID0PEG82,AVT0YEI6ESW25,A24HYROUW8ZMZ,AYJEQZWQZ471L,A11K4HY613LGHX,AZ4ZQMOFA3GND,ADFK3HW4HAH48,A2UF26QQNQOFCZ,A18EYZSDYZ7NIG,A1Y2N49VMVJ7C6,AOZ5HHRV4LTJF,A2IK4Y33UY7YFK,A1E2ADZSSESHHP,A22JTMBADARX55,A1VOFYYXKZWG7W,AFASY2VX8PADR,A2ZX5TLZPAQ2XD,A1X4KK8GK21WI4,A2XTDTDT3QSCB,A31J4TQIDERVVE,A3DZKVP1OBSTRF,A2RY24DUOWXUWU,A25SORYWGW7RQC,A1LD9ZQ3XTCWUN,AZR34QLGQARBV,A34HKFZ7LF12EC,A2OTDMCV8CZWML,A1FPCIKO68OQ63,A13QHXMU0OMNAY,A3L4JI1S352HB8,A1BWZQ1PEJG1HX,AKH0WFAUBUKUS,A1Z2P53Z69SJ92,A1PAFL0DX7EMAZ,A3VZA2YUYAOE0K,AK3DF1BXS8DSM,ABVPW8753ZBJO,A2EL6CXCGP4OB0,A2NPUPP06POEJ0,A2HNP1YL1IBFMU,A3QQD8CMGDUN8X
R8_3501_A_N,l2diff,l2diff,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R0_105_N_O,,,l2,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_1154_O_N,,,l2diff,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_131_O_A,,,l2diff,l2,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_26_N_A,,,l2diff,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_2607_~_O,,,l2,l2diff,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_307_~_A,,,l2diff,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_559_O_~,,,l2diff,l2diff,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_6687_A_~,,,l2diff,l2,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_6955_A_N,,,l2diff,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0_71_A_O,,,l2diff,l2,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_206_N_A,,,,,,,,l2diff,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_2853_A_N,,,,,,,,l2diff,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_3408_~_O,,,,,,,,l2,l2,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_348_O_N,,,,,,,,l2,l2,l2,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_5465_A_O,,,,,,,,l2diff,l2,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_7027_~_N,,,,,,,,l2diff,l2diff,l2diff,l2,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_7136_~_A,,,,,,,,l2diff,l2,l2,l2,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_743_N_~,,,,,,,,l2,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_776_A_~,,,,,,,,l2diff,l2,l2,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R35_916_O_~,,,,,,,,l2diff,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R13_1065_O_N,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_250_N_~,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_329_O_A,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_365_N_O,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_3863_A_N,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_4251_~_O,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,
R13_4966_~_A,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_5076_~_N,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,l2,,,,l2,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,
R13_5935_A_O,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,l2diff,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R13_6285_A_~,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,l2,,,,l2diff,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,
R4_2479_~_O,,,,,,l2diff,,,,,,,,l2diff,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_2607_~_N,,,,,,l2diff,,,,,,,,l2diff,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_261_N_O,,,,,,l2diff,,,,,,,,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_2874_~_A,,,,,,l2diff,,,,,,,,l2diff,l2diff,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_2895_A_O,,,,,,l2,,,,,,,,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_365_N_A,,,,,,l2,,,,,,,,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_406_O_~,,,,,,l2diff,,,,,,,,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_418_N_~,,,,,,l2diff,,,,,,,,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_438_A_N,,,,,,l2diff,,,,,,,,l2diff,l2diff,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R4_742_O_N,,,,,,l2,,,,,,,,l2diff,l2diff,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_164_~_N,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_1706_~_O,,,,,,,,,,,,,,,,,,l2,l2diff,l2,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_1722_O_A,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_1928_O_~,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_2400_A_~,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_3446_A_O,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_4272_A_N,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_475_N_A,,,,,,,,,,,,,,,,,,l2diff,l2diff,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_637_N_~,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R27_7322_~_A,,,,,,,,,,,,,,,,,,l2diff,l2,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R33_505_N_O,,,,l2diff,l2diff,,l2,,,,,,,,,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R33_539_O_~,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R33_5663_A_N,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R33_625_A_~,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R33_697_O_N,,,,l2,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R33_738_N_A,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R34_1182_O_~,,,,l2,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R34_1420_A_O,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R34_144_N_A,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R34_1668_O_N,,,,l2diff,l2diff,,l2diff,,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R49_16_N_~,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R49_356_N_O,l2diff,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R49_4133_~_N,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R49_5_A_O,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R49_5056_~_O,l2,l2,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R49_5293_A_N,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R49_5592_~_A,l2,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,l2,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R49_572_O_A,l2diff,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,l2,,,,,,,,,,,,,,,,,,,,,,,,
R49_616_N_A,l2diff,l2diff,,,,,,,,,,,l2diff,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R49_939_A_~,l2diff,l2diff,,,,,,,,,,,l2,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R48_293_O_N,,,,,,l2diff,,,l2diff,,,,,,,,l2diff,,l2,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_3118_~_O,,,,,,l2diff,,,l2diff,,,,,,,,l2,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_426_N_A,,,,,,l2diff,,,l2,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_48_N_~,,,,,,l2diff,,,l2diff,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_554_O_A,,,,,,l2,,,l2diff,,,,,,,,l2diff,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_5571_~_A,,,,,,l2diff,,,l2,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_6245_A_~,,,,,,l2,,,l2diff,,,,,,,,l2diff,,l2,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R48_780_N_O,,,,,,l2diff,,,l2diff,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R49_1124_O_N,,,,,,l2,,,l2,,,,,,,,l2,,l2diff,,,,,,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R49_1471_O_~,,,,,,l2diff,,,l2,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R41_5789_A_O,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2,,,,,,l2,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R41_6_N_A,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2,,,,,,,,,,
R41_7198_~_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R41_758_N_~,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R42_1019_A_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R42_1275_~_O,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R42_1370_A_O,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R42_1852_O_A,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R42_2005_O_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,l2diff,,,,,,l2,,,,,,,l2diff,,,,,,,l2diff,,,,,,,,,,
R42_2053_O_~,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,l2diff,,,,,,l2diff,,,,,,,l2,,,,,,,l2,,,,,,,,,,
R20_2738_A_O,,,,,,,,,,,,,,,,,,,l2,,,,,,,,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_2776_A_N,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,l2diff,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_511_O_N,,,,,,,,,,,,,,,,,,,l2,,,,,,,,l2diff,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_512_N_O,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_521_O_A,,,,,,,,,,,,,,,,,,,l2,,,,,,,,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_6321_A_~,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,l2,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_690_~_O,,,,,,,,,,,,,,,,,,,l2,,,,,,,,l2diff,l2diff,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R20_717_N_A,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R21_1244_A_~,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,l2,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R21_1668_O_~,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,l2diff,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R36_6984_A_N,,,,,,,,,,,,,,,,,,,,l2,,,,,,,l2diff,l2,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R36_705_~_A,,,,,,,,,,,,,,,,,,,,l2,,,,,,,l2,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_1317_O_N,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_1954_O_~,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2diff,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_202_N_A,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_2706_~_N,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2diff,l2diff,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_271_A_O,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2diff,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_3212_A_~,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2diff,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_391_N_~,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2diff,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_4948_~_A,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,l2diff,l2,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,,,
R37_506_N_O,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,l2,,,,,,,,,,,,,,,,,,,,,,,,
R37_5063_~_O,,,,,,,,,l2,,,,,,,,,,,,,,,l2,l2,,,,,,,,l2,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R37_5511_A_N,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R37_807_O_A,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R38_1419_O_~,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R38_1662_A_~,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R38_1690_O_N,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2,l2,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R38_2364_~_A,,,,,,,,,l2diff,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2,l2,,,,,,,,,,,,,,,,,,,,,,,,
R38_3223_A_N,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,l2diff,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R38_56_~_N,,,,,,,,,l2,,,,,,,,,,,,,,,l2diff,l2,,,,,,,,l2diff,l2diff,,,,,,,,,,,,,,,,,,,,,,,,
R10_531_N_~,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,l2diff,,,,,,,l2diff
R10_5365_~_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,l2diff,,,,,,,,l2diff,,,l2diff,,,,,,,l2diff
R10_5616_A_N,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,l2diff,,,,,,,l2diff
R10_5955_A_~,,,,,,,,,,,,,,,,,,,,,,,,,,l2diff,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,l2diff,,,,,,,l2diff
R10_6519_~_O,,,,,,,,,,,,,,,,,,,,,,,,,,l2,,,,,,,,,,,,,,l2diff,,,,,,,,l2,,,l2diff,,,,,,,l2diff
