,Worker ID,Link to Individual Worker Page,Number of HITs approved or rejected - Lifetime,Number of HITs approved - Lifetime,Your Lifetime approval rate,Number of HITs approved or rejected - Last 30 days,Number of HITs approved - Last 30 days,Your Last 30 days approval rate,Number of HITs approved or rejected - Last 7 days,Number of HITs approved - Last 7 days,Your Last 7 days approval rate,CURRENT-Type A,UPDATE-Type A,CURRENT-PilotTest,UPDATE-PilotTest,CURRENT-Past participant,UPDATE-Past participant,CURRENT-Already submitted,UPDATE-Already submitted,CURRENT-AllPass,UPDATE-AllPass,CURRENT BlockStatus,UPDATE BlockStatus,BlockReason
10,A18EWG6CNKAO2J,https://requester.mturk.com/workers/A18EWG6CNKAO2J,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
11,A18S7VHZ6X4F93,https://requester.mturk.com/workers/A18S7VHZ6X4F93,11,11,100.00%,11,11,100.00%,11,11,100.00%,,,,,,,1.0,,,,Never Blocked,,
12,A18VXW5V9Q27ET,https://requester.mturk.com/workers/A18VXW5V9Q27ET,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1.0,,,,Never Blocked,,
13,A1958FL5DWE5SQ,https://requester.mturk.com/workers/A1958FL5DWE5SQ,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,,,Never Blocked,,
14,A1ANSFI5L7SUUH,https://requester.mturk.com/workers/A1ANSFI5L7SUUH,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
15,A1B3XMTSAYWBT6,https://requester.mturk.com/workers/A1B3XMTSAYWBT6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
16,A1BZNPQ0H7ZSER,https://requester.mturk.com/workers/A1BZNPQ0H7ZSER,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
17,A1D3QRG52OISSR,https://requester.mturk.com/workers/A1D3QRG52OISSR,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
18,A1D9FOXZ0UT0L2,https://requester.mturk.com/workers/A1D9FOXZ0UT0L2,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
19,A1DVKS3R9SLQ1H,https://requester.mturk.com/workers/A1DVKS3R9SLQ1H,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1.0,,,,Never Blocked,,
20,A1DXFMUVK5015A,https://requester.mturk.com/workers/A1DXFMUVK5015A,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
21,A1E2ADZSSESHHP,https://requester.mturk.com/workers/A1E2ADZSSESHHP,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,1.0,1.0,Never Blocked,,
22,A1EBVJWBNNPUFU,https://requester.mturk.com/workers/A1EBVJWBNNPUFU,22,22,100.00%,22,22,100.00%,22,22,100.00%,,,,,,,,,,,Never Blocked,,
23,A1EF7PCXWNTUXR,https://requester.mturk.com/workers/A1EF7PCXWNTUXR,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,,,Never Blocked,,
24,A1F4N58CAX8IMK,https://requester.mturk.com/workers/A1F4N58CAX8IMK,25,25,100.00%,25,25,100.00%,25,25,100.00%,,,,,,,,,,,Never Blocked,,
25,A1FPCIKO68OQ63,https://requester.mturk.com/workers/A1FPCIKO68OQ63,10,10,100.00%,10,10,100.00%,10,10,100.00%,1.0,,10.0,,1.0,,,,1.0,1.0,Never Blocked,,
26,A1G3G0YQ80PTL9,https://requester.mturk.com/workers/A1G3G0YQ80PTL9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,1.0,1.0,Never Blocked,,
27,A1I34FW58ANO58,https://requester.mturk.com/workers/A1I34FW58ANO58,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
28,A1ILD0JU0QZ6ED,https://requester.mturk.com/workers/A1ILD0JU0QZ6ED,3,3,100.00%,3,3,100.00%,3,3,100.00%,1.0,,,,,,,,,,Never Blocked,,
29,A1JVWOBGNA6KJT,https://requester.mturk.com/workers/A1JVWOBGNA6KJT,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,,,Never Blocked,,
30,A1LD9ZQ3XTCWUN,https://requester.mturk.com/workers/A1LD9ZQ3XTCWUN,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
31,A1OBB3PWYWK9KK,https://requester.mturk.com/workers/A1OBB3PWYWK9KK,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
32,A1P3YDRJGXWPDT,https://requester.mturk.com/workers/A1P3YDRJGXWPDT,14,14,100.00%,14,14,100.00%,14,14,100.00%,,,,,,,1.0,,,,Never Blocked,,
33,A1PDBRYBFMMFNY,https://requester.mturk.com/workers/A1PDBRYBFMMFNY,6,6,100.00%,6,6,100.00%,6,6,100.00%,,,,,,,1.0,,,,Never Blocked,,
34,A1Q1HSGBD1POWV,https://requester.mturk.com/workers/A1Q1HSGBD1POWV,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
35,A1Q2PXYUSNBCD2,https://requester.mturk.com/workers/A1Q2PXYUSNBCD2,43,43,100.00%,43,43,100.00%,43,43,100.00%,,,,,,,1.0,,,,Never Blocked,,
36,A1QBF6HGY4SF6U,https://requester.mturk.com/workers/A1QBF6HGY4SF6U,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
37,A1RU9BQLDZ1DSY,https://requester.mturk.com/workers/A1RU9BQLDZ1DSY,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
38,A1S2MN0E9BHPVA,https://requester.mturk.com/workers/A1S2MN0E9BHPVA,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
39,A1S9ZYTTST4ODU,https://requester.mturk.com/workers/A1S9ZYTTST4ODU,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1.0,,,,Never Blocked,,
40,A1SBL8LU728U91,https://requester.mturk.com/workers/A1SBL8LU728U91,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
41,A1TQ7UQSSQP7BD,https://requester.mturk.com/workers/A1TQ7UQSSQP7BD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
42,A1UGD2VEVSML1U,https://requester.mturk.com/workers/A1UGD2VEVSML1U,7,7,100.00%,7,7,100.00%,7,7,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
43,A1V2C5IAJ6EJV8,https://requester.mturk.com/workers/A1V2C5IAJ6EJV8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,3.0,,1.0,,,,,,Never Blocked,,
44,A1VOFYYXKZWG7W,https://requester.mturk.com/workers/A1VOFYYXKZWG7W,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10.0,,1.0,,,,1.0,1.0,Never Blocked,,
45,A1WUZOLVPEXOLE,https://requester.mturk.com/workers/A1WUZOLVPEXOLE,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
46,A1X84T4EFW04GZ,https://requester.mturk.com/workers/A1X84T4EFW04GZ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
47,A1XGHGHD0LCPXJ,https://requester.mturk.com/workers/A1XGHGHD0LCPXJ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
48,A1Y2N49VMVJ7C6,https://requester.mturk.com/workers/A1Y2N49VMVJ7C6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
49,A1YSYI926BBOHW,https://requester.mturk.com/workers/A1YSYI926BBOHW,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
50,A1Z2R494U0IEJX,https://requester.mturk.com/workers/A1Z2R494U0IEJX,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
51,A1ZD8RU6YB0VEU,https://requester.mturk.com/workers/A1ZD8RU6YB0VEU,10,10,100.00%,10,10,100.00%,10,10,100.00%,,,,,,,,,,,Never Blocked,,
52,A1ZHX85H6OKMKK,https://requester.mturk.com/workers/A1ZHX85H6OKMKK,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1.0,,,,Never Blocked,,
53,A1ZZ7YO3YASNIP,https://requester.mturk.com/workers/A1ZZ7YO3YASNIP,37,37,100.00%,37,37,100.00%,37,37,100.00%,,,,,,,,,,,Never Blocked,,
54,A20SMUCY0FQA7Z,https://requester.mturk.com/workers/A20SMUCY0FQA7Z,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
55,A20YJ8H1DP2MZ3,https://requester.mturk.com/workers/A20YJ8H1DP2MZ3,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
56,A218ZG7O83ZQZ6,https://requester.mturk.com/workers/A218ZG7O83ZQZ6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
57,A21EZISIJ3JPSW,https://requester.mturk.com/workers/A21EZISIJ3JPSW,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,,1.0,Never Blocked,,
58,A224B7BAQ0MZSN,https://requester.mturk.com/workers/A224B7BAQ0MZSN,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
59,A22JTMBADARX55,https://requester.mturk.com/workers/A22JTMBADARX55,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
60,A23AP978617EJS,https://requester.mturk.com/workers/A23AP978617EJS,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
61,A23FIUOUMR9Y2L,https://requester.mturk.com/workers/A23FIUOUMR9Y2L,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
62,A23OR0D1FCUVMM,https://requester.mturk.com/workers/A23OR0D1FCUVMM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
63,A23U040IB98A2S,https://requester.mturk.com/workers/A23U040IB98A2S,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
64,A24HYROUW8ZMZ,https://requester.mturk.com/workers/A24HYROUW8ZMZ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10.0,,1.0,,,,1.0,1.0,Never Blocked,,
65,A2541C8MY0BYV3,https://requester.mturk.com/workers/A2541C8MY0BYV3,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,,,,,Never Blocked,,
66,A25SORYWGW7RQC,https://requester.mturk.com/workers/A25SORYWGW7RQC,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
67,A260MIY3WZBFF4,https://requester.mturk.com/workers/A260MIY3WZBFF4,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
68,A264EBGUV70XK9,https://requester.mturk.com/workers/A264EBGUV70XK9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
69,A267SCN7MD0CRX,https://requester.mturk.com/workers/A267SCN7MD0CRX,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
70,A26MN6JIKD4NXU,https://requester.mturk.com/workers/A26MN6JIKD4NXU,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,,,,,Never Blocked,,
71,A273DS7TQWR9M1,https://requester.mturk.com/workers/A273DS7TQWR9M1,15,15,100.00%,15,15,100.00%,15,15,100.00%,,,,,,,,,,,Never Blocked,,
72,A27XCW38I77SZ6,https://requester.mturk.com/workers/A27XCW38I77SZ6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,1.0,1.0,Never Blocked,,
73,A289QQE6F6EZZE,https://requester.mturk.com/workers/A289QQE6F6EZZE,6,6,100.00%,6,6,100.00%,6,6,100.00%,,,,,,,1.0,,,,Never Blocked,,
74,A299J4PKHAEU9H,https://requester.mturk.com/workers/A299J4PKHAEU9H,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,2.0,,1.0,,,,,,Never Blocked,,
75,A29NA4283YJ26D,https://requester.mturk.com/workers/A29NA4283YJ26D,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,,,,,Never Blocked,,
76,A2AHOL6JU0F0K1,https://requester.mturk.com/workers/A2AHOL6JU0F0K1,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,2.0,,1.0,,,,,,Never Blocked,,
77,A2AJ9M5YP8IM54,https://requester.mturk.com/workers/A2AJ9M5YP8IM54,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1.0,,1.0,,,,,,Never Blocked,,
78,A2AMYX1J96G2JG,https://requester.mturk.com/workers/A2AMYX1J96G2JG,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
79,A2AW84LKJU1EO8,https://requester.mturk.com/workers/A2AW84LKJU1EO8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
80,A2BACJE00ZUDXS,https://requester.mturk.com/workers/A2BACJE00ZUDXS,2,1,50.00%,2,1,50.00%,2,1,50.00%,,,10.0,,1.0,,,,1.0,1.0,Never Blocked,,
81,A2CK0OXMPOR9LE,https://requester.mturk.com/workers/A2CK0OXMPOR9LE,21,21,100.00%,21,21,100.00%,21,21,100.00%,1.0,,,,,,,,,,Never Blocked,,
82,A2D6VL5XE0O4D3,https://requester.mturk.com/workers/A2D6VL5XE0O4D3,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,,,,,Never Blocked,,
83,A2DVV59R1CQU6T,https://requester.mturk.com/workers/A2DVV59R1CQU6T,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,,,Never Blocked,,
84,A2DW47AFPJWXAM,https://requester.mturk.com/workers/A2DW47AFPJWXAM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
85,A2EHKB8T5FPLPU,https://requester.mturk.com/workers/A2EHKB8T5FPLPU,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1.0,,1.0,,,,,,Never Blocked,,
86,A2EKDPFTO5PNPM,https://requester.mturk.com/workers/A2EKDPFTO5PNPM,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
87,A2EL6CXCGP4OB0,https://requester.mturk.com/workers/A2EL6CXCGP4OB0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
88,A2EO6IBGQEOMLB,https://requester.mturk.com/workers/A2EO6IBGQEOMLB,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10.0,,1.0,,,,,1.0,Never Blocked,,
89,A2HNP1YL1IBFMU,https://requester.mturk.com/workers/A2HNP1YL1IBFMU,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
90,A2HR7ZIX42FEPG,https://requester.mturk.com/workers/A2HR7ZIX42FEPG,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
91,A2IEKGZ0JO612F,https://requester.mturk.com/workers/A2IEKGZ0JO612F,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
92,A2IK4Y33UY7YFK,https://requester.mturk.com/workers/A2IK4Y33UY7YFK,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
93,A2IUT0610X9CV0,https://requester.mturk.com/workers/A2IUT0610X9CV0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
94,A2JAMNGL6SDAHQ,https://requester.mturk.com/workers/A2JAMNGL6SDAHQ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10.0,,1.0,,,,,1.0,Never Blocked,,
95,A2JP9IKRHNLRPI,https://requester.mturk.com/workers/A2JP9IKRHNLRPI,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,0.0,,1.0,,,,,,Never Blocked,,
96,A2JRM1LHKMHH5I,https://requester.mturk.com/workers/A2JRM1LHKMHH5I,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
97,A2KBTDHM44J7X4,https://requester.mturk.com/workers/A2KBTDHM44J7X4,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
98,A2KH9SC6A8VQXZ,https://requester.mturk.com/workers/A2KH9SC6A8VQXZ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
99,A2KNDTYE4PUIQ1,https://requester.mturk.com/workers/A2KNDTYE4PUIQ1,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,2.0,,1.0,,,,,,Never Blocked,,
100,A2LRY3ID0PEG82,https://requester.mturk.com/workers/A2LRY3ID0PEG82,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,1.0,1.0,Never Blocked,,
101,A2LYW6MLZN3CU8,https://requester.mturk.com/workers/A2LYW6MLZN3CU8,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
102,A2MCG5W6LHSRG9,https://requester.mturk.com/workers/A2MCG5W6LHSRG9,34,34,100.00%,34,34,100.00%,34,34,100.00%,1.0,,,,,,,,,,Never Blocked,,
103,A2NK6BMMR490M3,https://requester.mturk.com/workers/A2NK6BMMR490M3,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
104,A2NPUPP06POEJ0,https://requester.mturk.com/workers/A2NPUPP06POEJ0,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,,1.0,Never Blocked,,
105,A2OP2ZANIM5ZV,https://requester.mturk.com/workers/A2OP2ZANIM5ZV,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,1.0,,1.0,,,,,,Never Blocked,,
106,A2OTDMCV8CZWML,https://requester.mturk.com/workers/A2OTDMCV8CZWML,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
107,A2P1KI42CJVNIA,https://requester.mturk.com/workers/A2P1KI42CJVNIA,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,,,,,Never Blocked,,
108,A2PFSE9ZYPJR0A,https://requester.mturk.com/workers/A2PFSE9ZYPJR0A,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
109,A2Q4ILF5IEPAE3,https://requester.mturk.com/workers/A2Q4ILF5IEPAE3,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
110,A2QUXO9OJY69QM,https://requester.mturk.com/workers/A2QUXO9OJY69QM,16,16,100.00%,16,16,100.00%,16,16,100.00%,,,,,,,,,,,Never Blocked,,
111,A2R258KNY2GJE,https://requester.mturk.com/workers/A2R258KNY2GJE,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1.0,,,,Never Blocked,,
112,A2R8IV2PWFTY00,https://requester.mturk.com/workers/A2R8IV2PWFTY00,5,5,100.00%,5,5,100.00%,5,5,100.00%,,,,,,,1.0,,,,Never Blocked,,
113,A2RY24DUOWXUWU,https://requester.mturk.com/workers/A2RY24DUOWXUWU,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
114,A2SBISQJE2ZPJQ,https://requester.mturk.com/workers/A2SBISQJE2ZPJQ,4,4,100.00%,4,4,100.00%,4,4,100.00%,,,,,,,1.0,,,,Never Blocked,,
115,A2SSYBUT9ZM0G9,https://requester.mturk.com/workers/A2SSYBUT9ZM0G9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
116,A2T0L5CXX7VBTF,https://requester.mturk.com/workers/A2T0L5CXX7VBTF,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,4.0,,1.0,,,,,,Never Blocked,,
117,A2THUO7UFLQKPD,https://requester.mturk.com/workers/A2THUO7UFLQKPD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
118,A2TT6FAIWFD25N,https://requester.mturk.com/workers/A2TT6FAIWFD25N,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
119,A2TZDN1NZBZ3V6,https://requester.mturk.com/workers/A2TZDN1NZBZ3V6,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
120,A2UC4H3EHIMWGC,https://requester.mturk.com/workers/A2UC4H3EHIMWGC,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
121,A2UF26QQNQOFCZ,https://requester.mturk.com/workers/A2UF26QQNQOFCZ,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
122,A2UIGDOLX5RV95,https://requester.mturk.com/workers/A2UIGDOLX5RV95,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
123,A2UPLJTIQFIEGY,https://requester.mturk.com/workers/A2UPLJTIQFIEGY,2,2,100.00%,2,2,100.00%,2,2,100.00%,,,,,,,1.0,,,,Never Blocked,,
124,A2UVJMJV1EOH9X,https://requester.mturk.com/workers/A2UVJMJV1EOH9X,3,3,100.00%,3,3,100.00%,3,3,100.00%,,,,,,,1.0,,,,Never Blocked,,
125,A2UY2IUBR3I2QC,https://requester.mturk.com/workers/A2UY2IUBR3I2QC,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,3.0,,1.0,,,,,,Never Blocked,,
126,A2WXKS2KBJKD7E,https://requester.mturk.com/workers/A2WXKS2KBJKD7E,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
127,A2XGOBIWUDYLOT,https://requester.mturk.com/workers/A2XGOBIWUDYLOT,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,,1.0,Never Blocked,,
128,A2XI3DX3IJ1TAV,https://requester.mturk.com/workers/A2XI3DX3IJ1TAV,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
129,A2XTDTDT3QSCB,https://requester.mturk.com/workers/A2XTDTDT3QSCB,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,8.0,,1.0,,,,,1.0,Never Blocked,,
130,A2Z9HR2IBD75R9,https://requester.mturk.com/workers/A2Z9HR2IBD75R9,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,5.0,,1.0,,,,,,Never Blocked,,
131,A2ZX5TLZPAQ2XD,https://requester.mturk.com/workers/A2ZX5TLZPAQ2XD,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,10.0,,1.0,,,,,1.0,Never Blocked,,
132,A30JBY7MGFD0YO,https://requester.mturk.com/workers/A30JBY7MGFD0YO,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,9.0,,1.0,,,,1.0,1.0,Never Blocked,,
133,A31H1O81GTSXDX,https://requester.mturk.com/workers/A31H1O81GTSXDX,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,6.0,,1.0,,,,,,Never Blocked,,
134,A31J4TQIDERVVE,https://requester.mturk.com/workers/A31J4TQIDERVVE,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,7.0,,1.0,,,,1.0,1.0,Never Blocked,,
135,A31XT6RPLN6359,https://requester.mturk.com/workers/A31XT6RPLN6359,1,0,0.00%,1,0,0.00%,1,0,0.00%,,,,,,,,,,,Never Blocked,,
136,A31YU02PI5MK40,https://requester.mturk.com/workers/A31YU02PI5MK40,1,1,100.00%,1,1,100.00%,1,1,100.00%,,,,,,,1.0,,,,Never Blocked,,
137,A32DRYN7M7HIZT,https://requester.mturk.com/workers/A32DRYN7M7HIZT,22,22,100.00%,22,22,100.00%,22,22,100.00%,,,9.0,,1.0,,1.0,,1.0,1.0,Never Blocked,,
